"Data e Horário","somatorio"
"06/20/2024 10:48:36 pm","0"
"06/20/2024 10:46:47 pm","80"
"06/20/2024 10:46:42 pm","8"
"06/20/2024 10:46:40 pm","8"
"06/20/2024 10:45:20 pm","8"
"06/20/2024 10:45:09 pm","6"
"06/12/2024 02:44:42 pm","6.00"
"06/12/2024 02:44:40 pm","6.00"
"06/12/2024 02:44:38 pm","6.00"
"06/12/2024 02:44:36 pm","6.00"
"06/12/2024 02:44:34 pm","6.00"
"06/12/2024 02:44:32 pm","6.00"
"06/12/2024 02:44:30 pm","6.00"
"06/12/2024 02:44:28 pm","6.00"
"06/12/2024 02:44:26 pm","6.00"
"06/12/2024 02:44:24 pm","6.00"
"06/12/2024 02:44:22 pm","6.00"
"06/12/2024 02:44:20 pm","6.00"
"06/12/2024 02:44:18 pm","6.00"
"06/12/2024 02:44:16 pm","6.00"
"06/12/2024 02:44:14 pm","6.00"
"06/12/2024 02:44:12 pm","6.00"
"06/12/2024 02:44:10 pm","6.00"
"06/12/2024 02:44:08 pm","6.00"
"06/12/2024 02:44:06 pm","6.00"
"06/12/2024 02:44:04 pm","6.00"
"06/12/2024 02:44:02 pm","6.00"
"06/12/2024 02:44:00 pm","6.00"
"06/12/2024 02:43:58 pm","6.00"
"06/12/2024 02:43:56 pm","6.00"
"06/12/2024 02:43:54 pm","6.00"
"06/12/2024 02:43:52 pm","6.00"
"06/12/2024 02:43:50 pm","6.00"
"06/12/2024 02:43:47 pm","6.00"
"06/12/2024 02:43:46 pm","6.00"
"06/12/2024 02:43:44 pm","6.00"
"06/12/2024 02:43:41 pm","6.00"
"06/12/2024 02:43:39 pm","6.00"
"06/12/2024 02:43:37 pm","6.00"
"06/12/2024 02:43:35 pm","6.00"
"06/12/2024 02:43:33 pm","6.00"
"06/12/2024 02:43:32 pm","6.00"
"06/12/2024 02:43:30 pm","6.00"
"06/12/2024 02:43:27 pm","6.00"
"06/12/2024 02:43:25 pm","6.00"
"06/12/2024 02:43:23 pm","6.00"
"06/12/2024 02:43:21 pm","6.00"
"06/12/2024 02:43:19 pm","6.00"
"06/12/2024 02:43:17 pm","6.00"
"06/12/2024 02:43:15 pm","6.00"
"06/12/2024 02:43:13 pm","6.00"
"06/12/2024 02:43:11 pm","6.00"
"06/12/2024 02:43:09 pm","6.00"
"06/12/2024 02:43:07 pm","6.00"
"06/12/2024 02:43:05 pm","6.00"
"06/12/2024 02:43:03 pm","6.00"
"06/12/2024 02:43:01 pm","6.00"
"06/12/2024 02:42:59 pm","6.00"
"06/12/2024 02:42:57 pm","6.00"
"06/12/2024 02:42:55 pm","6.00"
"06/12/2024 02:42:53 pm","6.00"
"06/12/2024 02:42:51 pm","6.00"
"06/12/2024 02:42:49 pm","6.00"
"06/12/2024 02:42:47 pm","6.00"
"06/12/2024 02:42:45 pm","6.00"
"06/12/2024 02:42:43 pm","6.00"
"06/12/2024 02:42:41 pm","6.00"
"06/12/2024 02:42:39 pm","6.00"
"06/12/2024 02:42:37 pm","6.00"
"06/12/2024 02:42:35 pm","6.00"
"06/12/2024 02:42:33 pm","6.00"
"06/12/2024 02:42:31 pm","6.00"
"06/12/2024 02:42:29 pm","6.00"
"06/12/2024 02:42:27 pm","6.00"
"06/12/2024 02:42:25 pm","6.00"
"06/12/2024 02:42:23 pm","6.00"
"06/12/2024 02:42:21 pm","6.00"
"06/12/2024 02:42:19 pm","6.00"
"06/12/2024 02:42:17 pm","6.00"
"06/12/2024 02:42:15 pm","6.00"
"06/12/2024 02:42:13 pm","6.00"
"06/12/2024 02:42:11 pm","6.00"
"06/12/2024 02:42:09 pm","6.00"
"06/12/2024 02:42:07 pm","6.00"
"06/12/2024 02:42:05 pm","6.00"
"06/12/2024 02:42:03 pm","6.00"
"06/12/2024 02:42:01 pm","6.00"
"06/12/2024 02:41:59 pm","6.00"
"06/12/2024 02:41:57 pm","6.00"
"06/12/2024 02:41:55 pm","6.00"
"06/12/2024 02:41:53 pm","6.00"
"06/12/2024 02:41:51 pm","6.00"
"06/12/2024 02:41:49 pm","6.00"
"06/12/2024 02:41:47 pm","6.00"
"06/12/2024 02:41:45 pm","6.00"
"06/12/2024 02:41:43 pm","6.00"
"06/12/2024 02:41:41 pm","6.00"
"06/12/2024 02:41:39 pm","6.00"
"06/12/2024 02:41:37 pm","6.00"
"06/12/2024 02:41:35 pm","6.00"
"06/12/2024 02:41:33 pm","6.00"
"06/12/2024 02:41:31 pm","6.00"
"06/12/2024 02:41:29 pm","6.00"
"06/12/2024 02:41:27 pm","6.00"
"06/12/2024 02:41:25 pm","6.00"
"06/12/2024 02:41:23 pm","6.00"
"06/12/2024 02:41:21 pm","6.00"
"06/12/2024 02:41:19 pm","6.00"
"06/12/2024 02:41:17 pm","6.00"
"06/12/2024 02:41:15 pm","6.00"
"06/12/2024 02:41:13 pm","6.00"
"06/12/2024 02:41:11 pm","6.00"
"06/12/2024 02:41:09 pm","6.00"
"06/12/2024 02:41:07 pm","6.00"
"06/12/2024 02:41:05 pm","6.00"
"06/12/2024 02:41:03 pm","6.00"
"06/12/2024 02:41:01 pm","6.00"
"06/12/2024 02:40:59 pm","6.00"
"06/12/2024 02:40:57 pm","6.00"
"06/12/2024 02:40:55 pm","6.00"
"06/12/2024 02:40:53 pm","6.00"
"06/12/2024 02:40:51 pm","6.00"
"06/12/2024 02:40:49 pm","6.00"
"06/12/2024 02:40:47 pm","6.00"
"06/12/2024 02:40:45 pm","6.00"
"06/12/2024 02:40:43 pm","6.00"
"06/12/2024 02:40:41 pm","6.00"
"06/12/2024 02:40:39 pm","6.00"
"06/12/2024 02:40:37 pm","6.00"
"06/12/2024 02:40:35 pm","6.00"
"06/12/2024 02:40:33 pm","6.00"
"06/12/2024 02:40:31 pm","6.00"
"06/12/2024 02:40:29 pm","6.00"
"06/12/2024 02:40:27 pm","6.00"
"06/12/2024 02:40:25 pm","6.00"
"06/12/2024 02:40:23 pm","6.00"
"06/12/2024 02:40:21 pm","6.00"
"06/12/2024 02:40:19 pm","6.00"
"06/12/2024 02:40:17 pm","6.00"
"06/12/2024 02:40:15 pm","6.00"
"06/12/2024 02:40:13 pm","6.00"
"06/12/2024 02:40:11 pm","6.00"
"06/12/2024 02:40:10 pm","6.00"
"06/12/2024 02:40:10 pm","6.00"
"06/12/2024 02:40:10 pm","6.00"
"06/12/2024 02:40:03 pm","6.00"
"06/12/2024 02:40:01 pm","6.00"
"06/12/2024 02:39:59 pm","6.00"
"06/12/2024 02:39:57 pm","6.00"
"06/12/2024 02:39:55 pm","6.00"
"06/12/2024 02:39:53 pm","6.00"
"06/12/2024 02:39:51 pm","6.00"
"06/12/2024 02:39:49 pm","6.00"
"06/12/2024 02:39:47 pm","6.00"
"06/12/2024 02:39:45 pm","6.00"
"06/12/2024 02:39:43 pm","6.00"
"06/12/2024 02:39:41 pm","6.00"
"06/12/2024 02:39:39 pm","6.00"
"06/12/2024 02:39:37 pm","6.00"
"06/12/2024 02:39:35 pm","6.00"
"06/12/2024 02:39:33 pm","6.00"
"06/12/2024 02:39:31 pm","6.00"
"06/12/2024 02:39:29 pm","6.00"
"06/12/2024 02:39:27 pm","6.00"
"06/12/2024 02:39:25 pm","6.00"
"06/12/2024 02:39:23 pm","6.00"
"06/12/2024 02:39:21 pm","6.00"
"06/12/2024 02:39:19 pm","6.00"
"06/12/2024 02:39:17 pm","6.00"
"06/12/2024 02:39:15 pm","6.00"
"06/12/2024 02:39:13 pm","6.00"
"06/12/2024 02:39:11 pm","6.00"
"06/12/2024 02:39:11 pm","6.00"
"06/12/2024 02:39:07 pm","6.00"
"06/12/2024 02:39:05 pm","6.00"
"06/12/2024 02:39:03 pm","6.00"
"06/12/2024 02:39:01 pm","6.00"
"06/12/2024 02:38:59 pm","6.00"
"06/12/2024 02:38:57 pm","6.00"
"06/12/2024 02:38:55 pm","6.00"
"06/12/2024 02:38:53 pm","6.00"
"06/12/2024 02:38:51 pm","6.00"
"06/12/2024 02:38:49 pm","6.00"
"06/12/2024 02:38:47 pm","6.00"
"06/12/2024 02:38:45 pm","6.00"
"06/12/2024 02:38:43 pm","6.00"
"06/12/2024 02:38:41 pm","6.00"
"06/12/2024 02:38:39 pm","6.00"
"06/12/2024 02:38:37 pm","6.00"
"06/12/2024 02:38:35 pm","6.00"
"06/12/2024 02:38:33 pm","6.00"
"06/12/2024 02:38:31 pm","6.00"
"06/12/2024 02:38:29 pm","6.00"
"06/12/2024 02:38:27 pm","6.00"
"06/12/2024 02:38:25 pm","6.00"
"06/12/2024 02:38:23 pm","6.00"
"06/12/2024 02:38:21 pm","6.00"
"06/12/2024 02:38:19 pm","6.00"
"06/12/2024 02:38:17 pm","6.00"
"06/12/2024 02:38:15 pm","6.00"
"06/12/2024 02:38:13 pm","6.00"
"06/12/2024 02:38:11 pm","6.00"
"06/12/2024 02:38:09 pm","6.00"
"06/12/2024 02:38:07 pm","6.00"
"06/12/2024 02:38:05 pm","6.00"
"06/12/2024 02:38:03 pm","6.00"
"06/12/2024 02:38:01 pm","6.00"
"06/12/2024 02:37:59 pm","6.00"
"06/12/2024 02:37:57 pm","6.00"
"06/12/2024 02:37:55 pm","6.00"
"06/12/2024 02:37:53 pm","6.00"
"06/12/2024 02:37:51 pm","6.00"
"06/12/2024 02:37:49 pm","6.00"
"06/12/2024 02:37:47 pm","6.00"
"06/12/2024 02:37:45 pm","6.00"
"06/12/2024 02:37:43 pm","6.00"
"06/12/2024 02:37:41 pm","6.00"
"06/12/2024 02:37:39 pm","6.00"
"06/12/2024 02:37:37 pm","6.00"
"06/12/2024 02:37:35 pm","6.00"
"06/12/2024 02:37:33 pm","6.00"
"06/12/2024 02:37:31 pm","6.00"
"06/12/2024 02:37:29 pm","6.00"
"06/12/2024 02:36:44 pm","6.00"
"06/12/2024 02:36:42 pm","6.00"
"06/12/2024 02:36:40 pm","6.00"
"06/12/2024 02:36:40 pm","6.00"
"06/12/2024 02:36:36 pm","6.00"
"06/12/2024 02:36:34 pm","6.00"
"06/12/2024 02:36:32 pm","6.00"
"06/12/2024 02:36:30 pm","6.00"
"06/12/2024 02:36:28 pm","6.00"
"06/12/2024 02:36:26 pm","6.00"
"06/12/2024 02:36:24 pm","6.00"
"06/12/2024 02:36:22 pm","6.00"
"06/12/2024 02:36:20 pm","6.00"
"06/12/2024 02:36:18 pm","6.00"
"06/12/2024 02:36:16 pm","6.00"
"06/12/2024 02:36:14 pm","6.00"
"06/12/2024 02:36:12 pm","6.00"
"06/12/2024 02:36:10 pm","6.00"
"06/12/2024 02:36:08 pm","6.00"
"06/12/2024 02:36:06 pm","6.00"
"06/12/2024 02:36:04 pm","6.00"
"06/12/2024 02:36:02 pm","6.00"
"06/12/2024 02:36:00 pm","6.00"
"06/12/2024 02:35:58 pm","6.00"
"06/12/2024 02:35:56 pm","6.00"
"06/12/2024 02:35:54 pm","5.00"
"06/12/2024 02:35:52 pm","5.00"
"06/12/2024 02:35:50 pm","5.00"
"06/12/2024 02:35:48 pm","5.00"
"06/12/2024 02:35:46 pm","5.00"
"06/12/2024 02:35:44 pm","4.00"
"06/12/2024 02:35:42 pm","4.00"
"06/12/2024 02:35:40 pm","4.00"
"06/12/2024 02:35:38 pm","4.00"
"06/12/2024 02:35:36 pm","4.00"
"06/12/2024 02:35:34 pm","3.00"
"06/12/2024 02:35:32 pm","3.00"
"06/12/2024 02:35:30 pm","3.00"
"06/12/2024 02:35:28 pm","2.00"
"06/12/2024 02:35:26 pm","2.00"
"06/12/2024 02:35:25 pm","2.00"
"06/12/2024 02:35:24 pm","2.00"
"06/12/2024 02:35:18 pm","2.00"
"06/12/2024 02:35:16 pm","2.00"
"06/12/2024 02:35:14 pm","2.00"
"06/12/2024 02:35:12 pm","2.00"
"06/12/2024 02:35:10 pm","2.00"
"06/12/2024 02:25:59 pm","0.00"
"06/12/2024 02:25:57 pm","0.00"
"06/12/2024 02:25:55 pm","0.00"
"06/12/2024 02:25:53 pm","0.00"
"06/12/2024 02:25:51 pm","0.00"
"06/12/2024 02:25:49 pm","0.00"
"06/12/2024 02:25:47 pm","0.00"
"06/12/2024 02:25:45 pm","0.00"
"06/12/2024 02:25:43 pm","0.00"
"06/12/2024 02:25:41 pm","0.00"
"06/12/2024 02:25:39 pm","0.00"
"06/12/2024 02:25:37 pm","0.00"
"06/12/2024 02:25:35 pm","0.00"
"06/12/2024 02:25:33 pm","0.00"
"06/12/2024 02:25:31 pm","0.00"
"06/12/2024 02:25:29 pm","0.00"
"06/12/2024 02:25:27 pm","0.00"
"06/12/2024 02:25:25 pm","0.00"
"06/12/2024 02:25:23 pm","0.00"
"06/12/2024 02:25:21 pm","0.00"
"06/12/2024 02:25:19 pm","0.00"
"06/12/2024 02:25:17 pm","0.00"
"06/12/2024 02:25:15 pm","0.00"
"06/12/2024 02:25:13 pm","0.00"
"06/12/2024 02:25:11 pm","0.00"
"06/12/2024 02:25:09 pm","0.00"
"06/12/2024 02:25:07 pm","0.00"
"06/12/2024 02:25:05 pm","0.00"
"06/12/2024 02:25:03 pm","0.00"
"06/12/2024 02:25:01 pm","0.00"
"06/10/2024 02:02:36 pm","0.00"
"06/10/2024 02:02:34 pm","0.00"
"06/10/2024 02:02:32 pm","0.00"
"06/10/2024 02:02:30 pm","0.00"
"06/10/2024 02:02:28 pm","0.00"
"06/10/2024 02:02:26 pm","0.00"
"06/10/2024 02:02:24 pm","0.00"
"06/10/2024 02:02:22 pm","0.00"
"06/10/2024 02:02:20 pm","0.00"
"06/10/2024 02:02:18 pm","0.00"
"06/10/2024 02:02:16 pm","0.00"
"06/10/2024 02:02:14 pm","0.00"
"06/10/2024 02:02:12 pm","0.00"
"06/10/2024 02:02:10 pm","0.00"
"06/10/2024 02:02:08 pm","0.00"
"06/10/2024 02:02:06 pm","0.00"
"06/10/2024 02:02:04 pm","0.00"
"06/10/2024 02:02:02 pm","0.00"
"06/10/2024 02:02:00 pm","0.00"
"06/10/2024 02:01:58 pm","0.00"
"06/10/2024 02:01:56 pm","0.00"
"06/10/2024 02:01:54 pm","0.00"
"06/10/2024 02:01:52 pm","0.00"
"06/10/2024 02:01:50 pm","0.00"
"06/10/2024 02:01:48 pm","0.00"
"06/10/2024 02:01:46 pm","0.00"
"06/10/2024 02:01:44 pm","0.00"
"06/10/2024 02:01:43 pm","0.00"
"06/10/2024 02:01:40 pm","0.00"
"06/10/2024 02:01:38 pm","0.00"
"06/10/2024 02:01:36 pm","0.00"
"06/10/2024 02:01:34 pm","0.00"
"06/10/2024 02:01:32 pm","0.00"
"06/10/2024 02:01:30 pm","0.00"
